nome,estado,cidade,lat,lon,plano,mensalidade
Lara Sampaio,PE,Recife,-8.0476,-34.877,1GB,199
Calebe Camargo,BA,Salvador,-12.9714,-38.5014,1GB,199
Arthur da Mota,RJ,Rio de Janeiro,-22.9068,-43.1729,100MB,99
João Guilherme Montenegro,PR,Curitiba,-25.4284,-49.2733,500MB,159
Luiz Miguel Câmara,RJ,Rio de Janeiro,-22.9068,-43.1729,300MB,129
Lavínia Sales,PE,Recife,-8.0476,-34.877,100MB,99
José Miguel Souza,CE,Fortaleza,-3.7319,-38.5267,100MB,99
Evelyn Castro,RJ,Rio de Janeiro,-22.9068,-43.1729,1GB,199
Murilo Castro,CE,Fortaleza,-3.7319,-38.5267,1GB,199
Natália da Rocha,CE,Fortaleza,-3.7319,-38.5267,500MB,159
Rael Cunha,BA,Salvador,-12.9714,-38.5014,500MB,159
Srta. Esther Machado,CE,Fortaleza,-3.7319,-38.5267,300MB,129
Sra. Maria Flor Pimenta,PR,Curitiba,-25.4284,-49.2733,300MB,129
Maitê Nunes,MG,Belo Horizonte,-19.9167,-43.9345,100MB,99
Melina da Rosa,PE,Recife,-8.0476,-34.877,300MB,129
Sr. Leandro Teixeira,BA,Salvador,-12.9714,-38.5014,1GB,199
Helena Casa Grande,CE,Fortaleza,-3.7319,-38.5267,100MB,99
Sra. Ana Liz Rezende,CE,Fortaleza,-3.7319,-38.5267,300MB,129
Yasmin Cirino,RJ,Rio de Janeiro,-22.9068,-43.1729,1GB,199
Maria Macedo,SP,São Paulo,-23.5505,-46.6333,500MB,159
Sra. Sarah Mendonça,SP,São Paulo,-23.5505,-46.6333,1GB,199
Maria Luísa Ferreira,PE,Recife,-8.0476,-34.877,100MB,99
Maria Helena Pimenta,CE,Fortaleza,-3.7319,-38.5267,1GB,199
Alice Pacheco,CE,Fortaleza,-3.7319,-38.5267,100MB,99
Antônio Farias,PE,Recife,-8.0476,-34.877,100MB,99
Eloá Gomes,MG,Belo Horizonte,-19.9167,-43.9345,300MB,129
Sr. Otávio Rocha,MG,Belo Horizonte,-19.9167,-43.9345,300MB,129
Liam Pimenta,CE,Fortaleza,-3.7319,-38.5267,1GB,199
Ravi Sampaio,MG,Belo Horizonte,-19.9167,-43.9345,1GB,199
Ana Julia Teixeira,MG,Belo Horizonte,-19.9167,-43.9345,100MB,99
Caio Casa Grande,RJ,Rio de Janeiro,-22.9068,-43.1729,300MB,129
Dr. Alexandre Pastor,CE,Fortaleza,-3.7319,-38.5267,500MB,159
Lucca da Cruz,CE,Fortaleza,-3.7319,-38.5267,300MB,129
Alexia Almeida,PE,Recife,-8.0476,-34.877,1GB,199
Lucas Gabriel da Cunha,CE,Fortaleza,-3.7319,-38.5267,500MB,159
Felipe Monteiro,CE,Fortaleza,-3.7319,-38.5267,1GB,199
Enzo Gabriel Vieira,CE,Fortaleza,-3.7319,-38.5267,300MB,129
Liam Viana,MG,Belo Horizonte,-19.9167,-43.9345,1GB,199
Heloísa Correia,SP,São Paulo,-23.5505,-46.6333,300MB,129
Davi Miguel Moura,MG,Belo Horizonte,-19.9167,-43.9345,300MB,129
Breno Macedo,BA,Salvador,-12.9714,-38.5014,500MB,159
Ana Cecília Costa,PE,Recife,-8.0476,-34.877,1GB,199
Antony Barros,MG,Belo Horizonte,-19.9167,-43.9345,300MB,129
Oliver Barros,MG,Belo Horizonte,-19.9167,-43.9345,100MB,99
Luiz Otávio Castro,SP,São Paulo,-23.5505,-46.6333,100MB,99
Maria Eduarda Ribeiro,SP,São Paulo,-23.5505,-46.6333,500MB,159
Antonella Albuquerque,BA,Salvador,-12.9714,-38.5014,100MB,99
Pietra Siqueira,RJ,Rio de Janeiro,-22.9068,-43.1729,100MB,99
Maria Fernanda Nogueira,RJ,Rio de Janeiro,-22.9068,-43.1729,100MB,99
Ana Clara Santos,BA,Salvador,-12.9714,-38.5014,500MB,159
Dra. Mariana Araújo,RJ,Rio de Janeiro,-22.9068,-43.1729,100MB,99
Daniel Ribeiro,PE,Recife,-8.0476,-34.877,1GB,199
Luna Pimenta,PR,Curitiba,-25.4284,-49.2733,500MB,159
Leandro da Cunha,SP,São Paulo,-23.5505,-46.6333,500MB,159
Pietro Caldeira,PR,Curitiba,-25.4284,-49.2733,100MB,99
Heitor Siqueira,RJ,Rio de Janeiro,-22.9068,-43.1729,100MB,99
João Miguel Aparecida,PE,Recife,-8.0476,-34.877,300MB,129
Rhavi Azevedo,MG,Belo Horizonte,-19.9167,-43.9345,100MB,99
Eloá Albuquerque,SP,São Paulo,-23.5505,-46.6333,100MB,99
Ágatha Guerra,SP,São Paulo,-23.5505,-46.6333,1GB,199
Alexia Castro,BA,Salvador,-12.9714,-38.5014,1GB,199
Danilo Novaes,RJ,Rio de Janeiro,-22.9068,-43.1729,500MB,159
Aylla da Costa,PR,Curitiba,-25.4284,-49.2733,500MB,159
Felipe Cunha,MG,Belo Horizonte,-19.9167,-43.9345,100MB,99
Dra. Cecilia Fernandes,SP,São Paulo,-23.5505,-46.6333,100MB,99
Maria Alice Camargo,SP,São Paulo,-23.5505,-46.6333,300MB,129
Oliver Nascimento,SP,São Paulo,-23.5505,-46.6333,100MB,99
Alexia Porto,MG,Belo Horizonte,-19.9167,-43.9345,300MB,129
Pedro Correia,SP,São Paulo,-23.5505,-46.6333,1GB,199
Esther Câmara,PE,Recife,-8.0476,-34.877,500MB,159
Bruno Nogueira,PR,Curitiba,-25.4284,-49.2733,300MB,129
Sr. Enzo Gabriel Nascimento,CE,Fortaleza,-3.7319,-38.5267,1GB,199
Sra. Cecília Moraes,PR,Curitiba,-25.4284,-49.2733,500MB,159
Luna Novaes,BA,Salvador,-12.9714,-38.5014,300MB,129
Maria Laura Sampaio,PE,Recife,-8.0476,-34.877,300MB,129
Marcos Vinicius Porto,SP,São Paulo,-23.5505,-46.6333,500MB,159
Elisa Melo,CE,Fortaleza,-3.7319,-38.5267,1GB,199
Dr. Arthur Gabriel Vargas,CE,Fortaleza,-3.7319,-38.5267,100MB,99
